"","age.2","age.3","age.4","age.5","age.6"
"1",0.22348770733012,0.576282056412781,0.177957437013382,0.0178563731940523,0.00441642604966504
"2",0.247180327378704,0.414447558090644,0.257337263943533,0.0800348515861197,0.000999999000999999
"3",0.089086056328868,0.213906402105256,0.427445850757039,0.231047515676522,0.0385141751323153
"4",0.089086056328868,0.213906402105256,0.427445850757039,0.231047515676522,0.0385141751323153
"5",0.089086056328868,0.213906402105256,0.427445850757039,0.231047515676522,0.0385141751323153
"6",0.116189473484546,0.492058334388167,0.36393271795254,0.0253713774190459,0.00244809675570079
"7",0.0881996299558338,0.409930797859667,0.426644130519463,0.0563085975523873,0.0189168441126488
"8",0.0389895535739815,0.188758168730246,0.497448152329688,0.250642098577381,0.0241620267887039
"9",0.204004105065554,0.308892754570855,0.299661578282262,0.146987299765704,0.0404542623156254
"10",0.0694655935009406,0.208066579149739,0.49956190934594,0.211456385311861,0.0114495326915197
"11",0.0152275308934687,0.196513592658424,0.406675837871703,0.329570217083761,0.0520128214926438
"12",0.133791261828328,0.410264978014809,0.376527683826879,0.0686947437054478,0.010721332624537
"13",0.0647624038277442,0.239931471703361,0.293645932009095,0.366733548658627,0.0349266438011723
"14",0.181517974275046,0.521269109353084,0.280176239771483,0.0160209543066492,0.00101572229373829
"15",0.129071641115551,0.329100023320998,0.394174941767913,0.115246077369378,0.0324073164261598
"16",0.122764271785993,0.19241609321261,0.376252360545636,0.258269392229318,0.0502978822264423
