"","loc.01","loc.02","loc.03","loc.04","loc.05","loc.06","loc.07","loc.08","loc.09","loc.10","loc.11","loc.12","loc.13","loc.14","loc.15","loc.16","loc.17"
"1979.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1979.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1979.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1979.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1980.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1980.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1980.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1980.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1981.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1981.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1981.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1981.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1982.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1982.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1982.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1982.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1983.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1983.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1983.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1983.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1984.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1984.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1984.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1984.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1986.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1986.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1986.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1986.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1987.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1987.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1987.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1987.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1988.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1988.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1988.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1988.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1989.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1989.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1989.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1989.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1990.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1990.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1990.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1990.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1991.month.spring",3.04452324,404.92159096,234.42828952,831.1548445,146.13711552,182.67139444,88.29117396,76.113081,0,0,0,0,0,0,0,0,0
"1991.month.summer",0,0,6.08904648,45.6678486,0,48.71237184,60.8904648,188.76044088,0,0,0,0,0,0,0,0,0
"1991.month.fall",66.97951128,12.17809296,9.13356972,18.26713944,66.97951128,73.06855776,3.04452324,48.71237184,0,0,0,0,0,0,0,0,0
"1991.month.winter",0,0,0,0,6.08904648,66.97951128,0,0,0,0,0,0,0,0,0,0,0
"1992.month.spring",12.80583721,2.561167442,2.561167442,20.48933954,614.68018604,189.5263907,151.10887908,315.02359538,0,0,0,0,0,0,0,0,0
"1992.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1992.month.fall",0,0,0,0,5.122334884,58.90685117,112.69136745,553.2121675,0,0,0,0,0,0,0,0,0
"1992.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1993.month.spring",0,0,0,0,185.723153412,400.6313738,212.255032518,278.58473008,0,0,0,0,0,0,0,0,0
"1993.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1993.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1993.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1994.month.spring",0,0,0,2.945617871,191.46516162,424.16897341,427.11459128,539.0480704,0,0,0,0,0,0,0,0,0
"1994.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1994.month.fall",0,0,0,0,0,0,0,147.28089355,0,0,0,0,0,0,0,0,0
"1994.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1995.month.spring",0,0,0,0,269.469441996,272.1913556,269.46944208,329.35154032,0,0,0,0,0,0,0,0,0
"1995.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1995.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1995.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1996.month.spring",0,0,0,0,45.50636658,74.9516626,64.24428223,612.9975263,0,0,0,0,0,0,0,0,0
"1996.month.summer",0,0,0,0,2.676845093,0,0,139.19594484,0,0,0,0,0,0,0,0,0
"1996.month.fall",0,0,0,0,0,0,0,50.860056765,0,0,0,0,0,0,0,0,0
"1996.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1997.month.spring",0,0,0,0,87.146738286,134.25308331,9.421269004,398.0486154,0,0,0,0,0,0,0,0,0
"1997.month.summer",0,0,0,0,37.685076021,91.85737279,0,103.63395904,0,0,0,0,0,0,0,0,0
"1997.month.fall",0,0,0,0,0,0,0,49.461662276,0,0,0,0,0,0,0,0,0
"1997.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1998.month.spring",0,0,0,0,71.61093082,100.70287146,11.18920794,273.0166737,0,0,0,0,0,0,0,0,0
"1998.month.summer",0,0,0,0,29.091940648,181.265168624,33.567623816,192.45437656,0,0,0,0,0,0,0,0,0
"1998.month.fall",0,0,0,0,0,6.713524764,8.951366352,35.805465406,0,0,0,0,0,0,0,0,0
"1998.month.winter",0,0,0,0,0,0,0,26.85409906,0,0,0,0,0,0,0,0,0
"1999.month.spring",0,0,0,0,0,41.08577438,127.82240918,283.0353346,0,0,0,0,0,0,0,0,0
"1999.month.summer",0,0,0,0,0,9.130172084,31.95560229,449.66097514,0,0,0,0,0,0,0,0,0
"1999.month.fall",0,0,0,0,0,0,0,84.45409178,0,0,0,0,0,0,0,0,0
"1999.month.winter",0,0,0,0,0,0,0,13.695258126,0,0,0,0,0,0,0,0,0
"2000.month.spring",0,0,0,0,31.397750388,60.70231741,92.1000678,192.572869,0,0,0,0,0,0,0,0,0
"2000.month.summer",0,0,0,0,79.540967639,136.056918333,14.652283513,339.09570416,0,0,0,0,0,0,0,0,0
"2000.month.fall",0,0,0,0,27.211383667,100.472801235,29.304567029,31.397750385,0,0,0,0,0,0,0,0,0
"2000.month.winter",0,0,0,0,0,8.372733436,0,0,0,0,0,0,0,0,0,0,0
"2001.month.spring",0,0,0,0,204.875360532,8.113875664,0,54.76866073,0,0,0,0,0,0,0,0,0
"2001.month.summer",0,0,0,0,231.24545642,66.939474232,8.113875664,20.28468916,0,0,0,0,0,0,0,0,0
"2001.month.fall",0,0,0,0,14.199282412,125.7650728,89.2526323,85.195694476,0,0,0,0,0,0,0,0,0
"2001.month.winter",0,0,0,0,0,0,2.028468916,34.48397157,0,0,0,0,0,0,0,0,0
"2002.month.spring",0,0,0,0,344.88280463,48.12318204,0,0,0,0,0,0,0,0,0,0,0
"2002.month.summer",0,0,0,0,60.153977555,8.02053034,4.01026517,72.184773065,0,0,0,0,0,0,0,0,0
"2002.month.fall",0,0,0,0,0,90.230966325,20.05132585,40.1026517,0,0,0,0,0,0,0,0,0
"2002.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2003.month.spring",0,0,0,0,154.721743796,36.16871933,0,0,0,0,0,0,0,0,0,0,0
"2003.month.summer",0,0,0,0,34.159346032,56.26245229,2.009373296,74.34681196,0,0,0,0,0,0,0,0,0
"2003.month.fall",0,0,0,0,0,100.4686648,56.262452286,40.18746592,0,0,0,0,0,0,0,0,0
"2003.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2004.month.spring",0,0,0,0,124.121080044,140.13670328,8.007811616,0,0,0,0,0,0,0,0,0,0
"2004.month.summer",0,0,0,0,78.07616326,98.0956923,0,90.08788068,0,0,0,0,0,0,0,0,0
"2004.month.fall",0,0,0,0,4.003905808,76.074210352,52.050775508,184.17966716,0,0,0,0,0,0,0,0,0
"2004.month.winter",0,0,0,0,0,0,2.001952904,18.017576136,0,0,0,0,0,0,0,0,0
"2005.month.spring",0,0,0,0,196.03452726,52.00916029,0,76.01338812,0,0,0,0,0,0,0,0,0
"2005.month.summer",0,0,0,0,104.01832059,94.016559,14.002466233,136.0239577,0,0,0,0,0,0,0,0,0
"2005.month.fall",0,0,0,0,0,140.024662326,72.012683483,64.011274208,0,0,0,0,0,0,0,0,0
"2005.month.winter",0,0,0,0,0,6.001056957,16.002818552,16.002818552,0,0,0,0,0,0,0,0,0
"2006.month.spring",0,0,0,0,183.31107358,116.83562932,30.21611103,32.23051843,0,0,0,0,0,0,0,0,0
"2006.month.summer",0,0,0,0,344.463665732,38.273740634,38.27374064,124.89325892,0,0,0,0,0,0,0,0,0
"2006.month.fall",0,0,0,0,2.014407402,96.69155529,86.61951829,60.432222056,0,0,0,0,0,0,0,0,0
"2006.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2007.month.spring",0,0,0,0,180.348116036,134.25915305,22.04254752,196.37905969,0,0,0,0,0,0,0,0,0
"2007.month.summer",0,0,0,0,42.081227076,102.19726576,62.11990664,188.363587868,0,0,0,0,0,0,0,0,0
"2007.month.fall",0,0,0,0,0,110.21273758,4.007735912,30.05801934,0,0,0,0,0,0,0,0,0
"2007.month.winter",0,0,0,0,0,76.146982332,84.162454156,42.081227076,0,0,0,0,0,0,0,0,0
"2008.month.spring",0,0,0,0,186.67121002,20.07217312,16.057738496,236.8516428,0,0,0,0,0,0,0,0,0
"2008.month.summer",0,0,0,4.014434624,80.28869248,16.057738496,6.021651936,260.938250596,0,0,0,0,0,0,0,0,0
"2008.month.fall",0,0,0,6.021651936,92.331996352,108.38973485,62.22373667,78.281475162,0,0,0,0,0,0,0,0,0
"2008.month.winter",0,0,0,0,26.093825056,128.46190796,164.59181958,106.382517534,0,0,0,0,0,0,0,0,0
"2009.month.spring",0,0,0,2.000717291,24.008607492,6.002151873,46.01649769,138.04949308,0,0,0,0,0,0,0,0,0
"2009.month.summer",0,0,0,0,24.008607492,6.002151873,0,24.00860749,0,0,0,0,0,0,0,0,0
"2009.month.fall",0,0,0,0,4.001434582,188.06742536,88.031560799,84.030126221,0,0,0,0,0,0,0,0,0
"2009.month.winter",0,0,0,0,0,10.003586455,10.003586455,136.04877579,0,0,0,0,0,0,0,0,0
"2010.month.spring",0,0,0,34.00463595,78.010635414,6.000818109,6.000818109,160.02181624,0,0,0,0,0,0,0,0,0
"2010.month.summer",0,0,0,28.00381784,40.005454062,4.000545406,4.000545406,82.01118083,0,0,0,0,0,0,0,0,0
"2010.month.fall",0,0,0,0,252.034360575,60.008181091,28.003817842,200.0272703,0,0,0,0,0,0,0,0,0
"2010.month.winter",0,0,0,0,60.008181091,16.002181624,22.002999733,34.004635951,0,0,0,0,0,0,0,0,0
"2011.month.spring",0,0,0,0,2.001226191,0,20.01226191,274.1679882,0,0,0,0,0,0,0,0,0
"2011.month.summer",0,0,0,0,4.002452382,8.004904764,22.0134881,140.08583337,0,0,0,0,0,0,0,0,0
"2011.month.fall",0,0,0,0,112.068666692,44.026976198,4.002452382,182.11158338,0,0,0,0,0,0,0,0,0
"2011.month.winter",0,0,0,0,222.136107202,254.15572621,162.09932147,58.035559542,0,0,0,0,0,0,0,0,0
"2012.month.spring",0,0,0,2.008544647,12.051267882,0,0,245.0424469,0,0,0,0,0,0,0,0,0
"2012.month.summer",0,0,0,0,10.042723235,6.025633941,0,36.153803642,0,0,0,0,0,0,0,0,0
"2012.month.fall",0,0,0,2.008544647,319.358598879,216.922821875,32.136714352,62.26488405,0,0,0,0,0,0,0,0,0
"2012.month.winter",0,0,0,0,8.034178588,0,0,0,0,0,0,0,0,0,0,0,0
"2013.month.spring",0,0,0,0,100.14038355,6.008423013,12.016846026,138.1937293,0,0,0,0,0,0,0,0,0
"2013.month.summer",0,0,0,0,132.185306283,36.050538074,0,10.014038355,0,0,0,0,0,0,0,0,0
"2013.month.fall",0,0,0,0,148.207767658,354.49695779,10.014038355,6.008423013,0,0,0,0,0,0,0,0,0
"2013.month.winter",0,0,0,2.002807671,136.19092163,22.03088438,18.025269039,8.011230684,0,0,0,0,0,0,0,0,0
"2014.month.spring",0,0,0,22.01623394,298.21989613,30.0221372,34.02508882,34.02508882,0,0,0,0,0,0,0,0,0
"2014.month.summer",0,0,0,40.02951626,66.04870183,2.001475813,2.001475813,0,0,0,0,0,0,0,0,0,0
"2014.month.fall",0,0,0,0,440.32467889,226.166766865,14.010330691,28.020661382,0,0,0,0,0,0,0,0,0
"2014.month.winter",0,0,0,2.001475813,94.06936321,20.01475813,4.002951626,4.002951626,0,0,0,0,0,0,0,0,0
"2015.month.spring",0,0,0,0,220.2002396,22.02002396,6.00546108,50.045509,0,0,0,0,0,0,0,0,0
"2015.month.summer",0,0,0,2.00182036,144.13106592,8.00728144,2.00182036,0,0,0,0,0,0,0,0,0,0
"2015.month.fall",0,0,0,0,186.16929348,246.22390432,46.04186828,42.03822756,0,0,0,0,0,0,0,0,0
